rx ry rz vx vy vz ax ay az
+1.393853E+00 +4.759696E+00 +6.339966E+00 -1.806654E+00 +7.168523E-01 +1.037545E+00 +1.898532E+01 -9.817094E+00 +2.144812E+01
-8.598992E+00 +2.279696E+00 +1.044509E+01 -9.936330E-01 -1.177006E-01 -9.384548E-01 +1.317357E+00 -1.013958E+00 +1.816012E+00
+9.036070E+00 +3.052931E+00 +3.158450E+00 +1.312055E+00 -7.708072E-01 +1.376085E+00 +2.687433E+00 -5.090993E+00 -5.503933E+00
-7.437893E+00 +8.340967E+00 +4.018602E+00 +6.148842E-01 -6.234248E-01 -2.837581E-02 +4.278961E+00 +1.482395E+00 +2.508165E+00
-1.109338E+01 +3.676418E+00 +5.173772E+00 -1.335707E+00 +7.355305E-01 -1.513415E+00 -2.818532E+00 -8.950010E+00 +1.148145E+01
+9.911215E+00 -4.210986E+00 -3.789035E+00 +1.536534E+00 -1.506346E-01 +1.814536E+00 +9.126231E-01 +4.131472E+00 -5.857467E+00
-2.314718E+00 +9.411968E+00 +1.140275E+01 -1.024476E+00 +4.968269E-01 +2.088403E-01 -1.569651E-01 -9.754408E-01 -2.843408E+00
+1.889793E-01 -8.050102E-01 +5.472565E+00 +1.975015E+00 +1.041111E+00 -1.200004E-01 -4.389378E+00 +5.186342E+00 +6.844507E+00
+9.276685E+00 +2.878052E+00 +6.068245E+00 -1.328391E+00 +3.724680E-01 +1.267261E+00 +1.848169E+00 +3.088273E+00 -1.385216E+00
+3.646589E-02 +3.713150E+00 +7.049792E+00 +5.883887E-01 -4.463789E-01 -1.356361E+00 +6.692295E-01 +1.855329E-01 +5.082871E+00
+5.567255E+00 +1.690466E+00 +4.311615E+00 +5.151969E-01 +1.471836E+00 -3.855190E-01 +5.193721E+00 +2.062442E+01 -2.889781E+00
+1.220198E+01 -7.505420E+00 -3.425526E+00 +1.126892E-01 +9.086522E-01 -1.436374E+00 -1.252780E+01 +4.099142E+00 -3.666389E+00
+8.033842E+00 +7.268581E+00 +2.184746E+01 +1.138028E-01 -5.190111E-01 +6.633658E-01 +3.524712E+01 -1.962103E+01 +1.966403E+01
-4.724684E+00 +5.906808E+00 -2.632167E+00 -1.335356E+00 -4.752748E-01 +2.920532E-01 -1.814986E+01 -8.385219E+00 +1.139921E+01
+3.896435E+00 -1.648181E+00 +8.994682E+00 -1.586368E-01 -1.358075E+00 +5.144393E-01 -1.659242E+01 +2.787563E+01 +6.549834E+00
-5.991323E+00 +4.370750E+00 +9.258521E+00 +6.854409E-01 +5.446248E-01 +1.890121E+00 +1.957855E+01 -2.062276E+00 -6.419765E+00
+8.232031E+00 +2.418484E+00 +8.698174E+00 +2.352620E+00 +7.520882E-01 +9.015008E-01 -7.397970E-01 -8.310416E-01 +1.280670E+00
+3.854682E-01 -6.970767E+00 +1.282979E+01 -1.134630E+00 -1.131203E+00 -4.017374E-01 -1.019383E+01 -9.620518E-01 -1.289049E+00
+6.891251E+00 +1.288021E+01 +8.620290E+00 -1.500253E+00 -5.671933E-01 +1.059420E+00 +3.980208E-01 +2.672763E+00 -1.465653E+00
+2.709184E+00 +1.152852E+00 +1.177824E+01 -1.191449E+00 -9.422319E-01 +4.939489E-01 -3.014168E+00 +2.304339E+00 +2.608767E+00
-4.376803E+00 -3.693345E+00 +2.295190E+00 +4.176622E-01 +1.663773E+00 -1.580437E+00 -5.372076E+00 -1.490006E+01 +9.162759E-01
+6.788016E+00 +2.370249E+00 -2.695400E+00 -1.289717E+00 -8.732943E-01 -1.397872E+00 +1.137016E+00 +5.872562E+00 -3.332421E+00
-5.037909E-01 +7.723007E+00 +8.598793E+00 -4.858740E-02 -1.000801E-01 -6.617755E-02 +8.514856E-01 -1.342545E+00 +1.980848E+00
+6.509815E+00 +1.651902E+01 -8.588850E-01 -8.475310E-01 -2.355369E+00 -4.808358E-02 -4.080594E+01 +8.269169E+01 +6.377857E+01
