RUN E V K T P cV gammaG kS alphaE alt_alphaE
01 -6.800068E+02 -1.691880E+03 +1.011873E+03 +1.351868E+00 +2.113543E-01 +1.998815E+00 +1.378347E+00 +3.661224E-01 -6.053766E-01 -6.053766E-01
02 -6.800083E+02 -1.692105E+03 +1.012097E+03 +1.352167E+00 +2.163870E-01 +1.926735E+00 +1.416018E+00 +2.990975E-01 -5.916889E-01 -5.916889E-01
03 -6.800139E+02 -1.692289E+03 +1.012275E+03 +1.352405E+00 +2.095118E-01 +1.987710E+00 +1.273261E+00 +2.651997E-01 -6.617442E-01 -6.617442E-01
04 -6.800083E+02 -1.693782E+03 +1.013773E+03 +1.354407E+00 +2.146688E-01 +1.908531E+00 +1.393738E+00 +3.589751E-01 -6.014204E-01 -6.014204E-01
05 -6.800118E+02 -1.692511E+03 +1.012499E+03 +1.352704E+00 +2.162542E-01 +1.910137E+00 +1.354554E+00 +2.619027E-01 -6.227103E-01 -6.227103E-01
06 -6.800037E+02 -1.693058E+03 +1.013054E+03 +1.353446E+00 +2.201724E-01 +1.995260E+00 +1.348260E+00 +3.010905E-01 -6.234022E-01 -6.234022E-01
07 -6.800146E+02 -1.694017E+03 +1.014003E+03 +1.354713E+00 +2.201438E-01 +1.939765E+00 +1.273578E+00 +3.683038E-01 -6.673996E-01 -6.673996E-01
08 -6.800187E+02 -1.693667E+03 +1.013648E+03 +1.354239E+00 +2.216320E-01 +2.044325E+00 +1.337547E+00 +4.217865E-01 -6.271429E-01 -6.271429E-01
09 -6.800205E+02 -1.690791E+03 +1.010770E+03 +1.350394E+00 +2.053773E-01 +1.950724E+00 +1.318574E+00 +4.620935E-01 -6.369306E-01 -6.369306E-01
10 -6.800069E+02 -1.691924E+03 +1.011917E+03 +1.351927E+00 +2.177319E-01 +1.886801E+00 +1.360371E+00 +2.582976E-01 -6.217641E-01 -6.217641E-01
