rx ry rz vx vy vz ax ay az
-1.865882E-01 -1.072607E-01  1.638192E-01  1.614404E+00 -9.091767E-01  1.092896E+00  6.019387E-01  1.486920E-01  6.223222E-01
-4.574550E-02  1.156591E+00  8.397567E-01 -2.008308E+00  1.104545E+00 -9.777175E-01  7.920584E+00 -7.280027E+00 -2.416373E+00
 8.823850E-01  1.372683E-01  1.027229E+00 -3.195759E-01  8.754059E-01  4.995262E-01  4.766096E-01  1.137962E+00 -7.337534E-02
 8.436812E-01  8.214645E-01 -1.797939E-01 -9.959323E-01 -1.318985E+00 -5.899664E-01  5.170860E-01 -1.405060E+00  2.083272E-01
 6.343000E-03  8.782270E-02  2.031172E+00 -1.445246E+00  9.881504E-01 -5.021676E-02  1.354080E+00 -3.779478E-01  1.307047E+00
-1.197440E-01  1.058501E+00  3.053497E+00 -3.671754E-01  1.616951E-01 -1.322028E+00 -2.068198E+00 -9.018227E-01  9.274475E-01
 9.769465E-01 -8.770800E-02  2.842203E+00  4.796635E-01  1.574598E+00 -6.576113E-01 -2.492243E+00  4.867375E+00  4.798632E+00
 1.057638E+00  8.259301E-01  2.170072E+00 -5.390895E-01 -1.492853E+00 -2.556451E-01 -3.965376E-02 -1.711922E+00 -1.625216E+00
 1.540506E-01  1.592162E-01  4.124292E+00  3.456378E-01  1.702049E-01  7.951498E-01  5.211036E-01  4.107836E-01  1.041066E-01
 1.714127E-01  9.117511E-01  5.012332E+00 -1.304826E-02  3.592361E-01  4.677868E-01  5.496341E-01  6.656757E-01 -1.637148E-02
 1.199420E+00 -1.939514E-01  5.015075E+00  8.016998E-01 -1.753343E+00 -1.825255E+00  2.371499E+00  1.480429E+00  1.687080E+00
 1.073676E+00  1.189550E+00  3.997928E+00  8.978359E-01  1.314882E+00  1.666380E+00 -3.341730E+00 -2.660990E+00 -4.694205E-01
 1.496873E-01 -4.654880E-02  6.051254E+00  8.286497E-01  1.564527E+00 -1.530030E+00 -2.571942E+00  1.516355E+00  1.348833E+00
-6.665120E-02  8.104796E-01  7.171839E+00  1.575025E+00  1.731863E+00  2.939800E-01  5.154950E+00 -7.142998E+00 -1.773231E+00
 8.599331E-01 -5.125760E-02  7.182245E+00 -1.197638E+00 -1.853704E+00 -5.223967E-01  6.178296E-01  1.594927E+00 -2.269416E+00
 8.949369E-01  1.034951E+00  6.131075E+00 -2.009319E+00  1.916548E+00 -5.490471E-01  2.844947E+00  2.038687E+00  8.493798E-01
-3.930400E-03 -1.908347E-01  7.847779E+00  1.044183E+00 -1.916268E-01 -1.326236E+00 -6.705127E+00  3.520486E+00  2.971715E+00
-1.546914E-01  1.126719E+00  8.926948E+00  6.362008E-01  7.220873E-01 -1.021039E+00 -3.128852E+00 -6.925548E+00 -1.748594E+00
 8.833934E-01 -1.926368E-01  9.077664E+00 -1.232851E+00  1.450632E+00 -1.099324E+00  4.612802E+00  3.183393E+00  6.771212E-01
 8.901433E-01  9.647044E-01  7.958664E+00 -1.871527E+00 -1.178830E+00  1.484238E+00  4.633424E+00 -8.998486E-01 -1.379624E+00
-1.099306E-01  2.128934E+00 -1.139857E-01  1.885197E-01  2.602559E-01  3.900339E-01  7.290131E-01  6.389590E+00  4.141605E+00
-1.061198E-01  2.833202E+00  8.496251E-01  9.193882E-01 -5.834362E-01  4.331079E-01 -4.380272E+00  6.745518E+00 -4.974489E-02
 1.160273E+00  1.857601E+00  1.105578E+00 -1.458916E+00 -1.508657E+00 -5.048552E-01  2.128950E+00 -4.808977E+00 -1.270818E+00
 9.362356E-01  3.045305E+00  1.274268E-01 -1.074857E-01 -1.393637E-01 -1.304660E+00  2.035323E+00  4.271724E+00  1.949632E+00
-1.425731E-01  1.967781E+00  1.864513E+00 -3.713242E-01 -1.245825E+00  8.854313E-01  2.441355E+00 -3.572835E+00  1.497135E+00
 1.968940E-01  3.130919E+00  3.098982E+00  7.010748E-01  8.831826E-01  1.574258E+00 -3.274310E+00  9.887403E+00 -5.301353E+00
 1.086678E+00  2.146687E+00  2.881552E+00 -1.089382E+00  1.039366E+00 -7.458733E-01  1.709378E+00 -9.148988E+00  2.195602E+00
 1.034149E+00  3.006708E+00  2.153087E+00  6.000892E-01 -7.513335E-01  9.210707E-01  2.192456E+00  7.116315E+00  1.215811E+00
-7.773780E-02  1.870486E+00  4.120034E+00 -1.787321E+00 -1.375672E+00 -9.730448E-02 -4.812538E-01 -2.679224E+00  2.847839E+00
-7.880510E-02  3.040474E+00  5.139925E+00 -7.497561E-01 -4.358433E-01 -1.133628E+00  1.897613E+00  5.709835E+00 -7.550986E-01
 1.037655E+00  2.092087E+00  5.047873E+00  1.058708E+00  4.201917E-01  5.398038E-02  6.947916E+00 -7.425551E+00 -2.275114E+00
 9.150184E-01  3.088043E+00  3.883053E+00  5.723422E-01 -2.027268E-01  1.021121E+00  2.760787E+00  5.004516E+00  3.860178E+00
 1.144125E-01  2.092152E+00  5.884230E+00 -1.401284E+00 -1.868929E+00 -6.930629E-01 -1.683174E+00  4.136306E+00 -1.281292E+00
 1.853508E-01  2.964018E+00  7.135969E+00  7.714154E-01 -7.481422E-01 -1.673113E+00 -2.688171E+00  1.370175E+00 -3.161453E+00
 8.443961E-01  2.049382E+00  7.127613E+00 -1.526253E+00 -1.912298E+00 -1.461156E+00  3.072913E+00 -3.225062E+00  1.472139E+00
 1.013631E+00  3.038600E+00  6.173631E+00  6.856200E-02 -5.295811E-01  1.847089E+00  5.027905E+00 -9.434114E+00 -3.150714E+00
-1.953138E-01  1.812907E+00  7.887329E+00 -1.300306E+00 -1.774295E+00 -4.674663E-01 -7.905035E+00 -1.197928E+01 -5.631953E-03
-4.353070E-02  3.049669E+00  9.024779E+00  1.645319E+00  7.086753E-01  2.000871E+00  9.618642E-01  1.472646E+01  1.258581E+00
 1.121009E+00  1.997983E+00  8.881061E+00 -1.641058E+00  1.912687E+00 -1.809127E+00  9.162213E+00 -1.408840E+00 -3.681755E-01
 1.170996E+00  3.005837E+00  8.150149E+00  1.812579E+00 -7.950005E-01  4.415151E-01 -5.364375E-01  2.065579E+00 -1.224264E+01
-6.478740E-02  3.868121E+00  1.733710E-01 -2.321963E-01 -1.507103E+00  1.230478E+00 -8.762781E-01  4.891301E+00  1.311634E+01
 1.202271E-01  5.172218E+00  1.109336E+00  7.186163E-01 -1.276459E+00 -4.816530E-01 -2.642653E-01  1.688866E+00 -5.135516E+00
 1.083031E+00  4.008045E+00  1.040168E+00 -1.844995E+00 -3.761416E-01 -1.800072E+00  4.654496E+00  5.267826E+00 -1.570375E+00
 1.050882E+00  4.958294E+00  1.572879E-01 -1.249719E+00 -6.864596E-01  1.082166E+00  2.883904E+00 -2.955679E+00  7.761989E+00
 9.429550E-02  4.073771E+00  2.059359E+00  8.079768E-01 -1.232202E+00 -5.085704E-01 -9.268825E+00 -2.299637E+00 -4.774943E+00
 1.250827E-01  5.184480E+00  3.181929E+00 -3.963053E-01  2.035773E+00 -7.061317E-01 -5.135672E-01 -6.468574E+00 -4.437688E+00
 8.320784E-01  4.124280E+00  3.189426E+00  4.955408E-01 -1.555649E+00 -1.581947E+00 -6.068099E+00 -1.082133E+01 -2.354840E+00
 1.149038E+00  5.115358E+00  2.090326E+00  8.500386E-02 -1.871871E+00  1.168714E+00  1.110915E+01  1.178264E+01  1.117199E+01
 4.712400E-03  3.969534E+00  4.118716E+00  1.093455E+00  6.486954E-01  1.235786E+00 -6.771891E+00 -1.757169E-01 -5.020852E+00
 1.276462E-01  4.942800E+00  5.178707E+00  1.330251E+00 -6.831431E-02 -1.736476E+00 -2.454942E+00  1.681982E+01  2.839764E+01
 1.000022E+00  3.906368E+00  4.851984E+00  7.995279E-01  1.119217E+00  1.977216E+00  2.804488E+00 -1.390772E+01 -2.656664E+01
 1.033347E+00  5.027057E+00  4.006730E+00 -1.509932E+00 -4.592404E-01  2.157641E-01  1.294575E+01  4.633378E+00  9.053835E-01
-1.583265E-01  3.970625E+00  6.190024E+00 -4.862030E-01  1.850308E+00  6.423449E-01 -6.997035E+00 -4.071381E+00 -1.172895E+01
-1.974694E-01  5.029151E+00  7.056671E+00  9.300363E-01  1.771480E-01 -1.838852E+00 -1.595553E+01  7.528849E+00  9.478701E+00
 1.141553E+00  3.880407E+00  6.823482E+00 -7.150397E-01 -1.661773E+00  1.853724E+00  1.177184E+01 -1.568845E+01 -7.008761E+00
 9.382905E-01  5.041111E+00  6.159344E+00  1.442417E+00  1.600075E+00  1.586034E+00  1.897391E+00  2.329234E+01 -7.084418E+00
