     RUN        T      s_T      C_V    s_C_V        P      s_P   alphaE s_alphaE    gamma  s_gamma       kS     s_kS       kT     s_kT   alphaP s_alphaP   alphaS s_alphaS      C_P    s_C_P
       1 +1.351871E+00 +3.502341E-04 +1.335557E-03 +4.889013E-07 +5.346622E-01 +4.423765E-04 -9.499044E-06 +2.621232E-11 +3.743757E+05 +1.370465E+02 +3.951687E-06 +3.392765E-09 +3.903676E-01 +4.682215E+01 +1.951839E-01 +2.341109E+01 -1.975865E-06 -8.861132E-10 +1.319331E+02 +1.582455E+04
       2 +1.352168E+00 +3.300129E-04 +1.335607E-03 +4.608517E-07 +5.360274E-01 +4.276658E-04 -9.582524E-06 +2.583234E-11 +3.743617E+05 +1.291742E+02 +3.950964E-06 +3.197243E-09 +3.839506E-01 +4.270074E+01 +1.919754E-01 +2.135038E+01 -1.975503E-06 -8.349324E-10 +1.297930E+02 +1.443481E+04
       3 +1.352400E+00 +3.473391E-04 +1.335565E-03 +4.848903E-07 +5.343948E-01 +4.179694E-04 -9.460956E-06 +2.441111E-11 +3.743737E+05 +1.359206E+02 +3.950162E-06 +3.363474E-09 +3.796848E-01 +4.394605E+01 +1.898425E-01 +2.197304E+01 -1.975102E-06 -8.783680E-10 +1.283729E+02 +1.485833E+04
       4 +1.354414E+00 +3.253363E-04 +1.335621E-03 +4.530875E-07 +5.364389E-01 +4.372485E-04 -9.533495E-06 +2.641308E-11 +3.743580E+05 +1.269955E+02 +3.944453E-06 +3.138473E-09 +3.888947E-01 +4.314435E+01 +1.944474E-01 +2.157219E+01 -1.972247E-06 -8.197974E-10 +1.316826E+02 +1.460899E+04
       5 +1.352701E+00 +3.249486E-04 +1.335619E-03 +4.537800E-07 +5.361928E-01 +4.157241E-04 -9.574159E-06 +2.501398E-11 +3.743583E+05 +1.271897E+02 +3.949443E-06 +3.146830E-09 +3.788233E-01 +4.094397E+01 +1.894117E-01 +2.047200E+01 -1.974743E-06 -8.216907E-10 +1.281102E+02 +1.384640E+04
       6 +1.353448E+00 +3.495610E-04 +1.335560E-03 +4.876727E-07 +5.374556E-01 +4.312537E-04 -9.635375E-06 +2.619994E-11 +3.743751E+05 +1.367016E+02 +3.947086E-06 +3.380116E-09 +3.825314E-01 +4.489808E+01 +1.912658E-01 +2.244905E+01 -1.973565E-06 -8.826874E-10 +1.294356E+02 +1.519198E+04
       7 +1.354712E+00 +3.345475E-04 +1.335598E-03 +4.661662E-07 +5.379215E-01 +4.384092E-04 -9.622098E-06 +2.702523E-11 +3.743643E+05 +1.306656E+02 +3.943520E-06 +3.228130E-09 +3.869570E-01 +4.395652E+01 +1.934786E-01 +2.197827E+01 -1.971781E-06 -8.430583E-10 +1.310552E+02 +1.488727E+04
       8 +1.354236E+00 +3.627678E-04 +1.335528E-03 +5.048761E-07 +5.381139E-01 +4.524502E-04 -9.653563E-06 +2.778689E-11 +3.743841E+05 +1.415308E+02 +3.944698E-06 +3.497900E-09 +3.909722E-01 +4.859444E+01 +1.954862E-01 +2.429724E+01 -1.972370E-06 -9.138467E-10 +1.323686E+02 +1.645227E+04
       9 +1.350401E+00 +3.371669E-04 +1.335590E-03 +4.707328E-07 +5.326140E-01 +4.476260E-04 -9.409956E-06 +2.642255E-11 +3.743666E+05 +1.319473E+02 +3.956084E-06 +3.270526E-09 +3.963905E-01 +4.643529E+01 +1.981953E-01 +2.321766E+01 -1.978063E-06 -8.543856E-10 +1.338231E+02 +1.567674E+04
      10 +1.351922E+00 +3.175242E-04 +1.335637E-03 +4.434077E-07 +5.362746E-01 +4.131822E-04 -9.606630E-06 +2.510658E-11 +3.743534E+05 +1.242792E+02 +3.951771E-06 +3.076842E-09 +3.781805E-01 +3.985061E+01 +1.890904E-01 +1.992532E+01 -1.975907E-06 -8.035323E-10 +1.278191E+02 +1.346889E+04
